RefDes     X          Y          Rot.       Exact     (FREE)    Side
R17        439.8009   1520.5688  180        EXACT     (FREE)    Primary Component Side        
R18        441.3068   1622.9683  180        EXACT     (FREE)    Primary Component Side        
R19        442.8127   1726.8736  180        EXACT     (FREE)    Primary Component Side        
R20        443.5656   1827.7672  180        EXACT     (FREE)    Primary Component Side        
R21        443.5656   1930.1667  180        EXACT     (FREE)    Primary Component Side        
R22        442.0096   2034.2193  180        EXACT     (FREE)    Primary Component Side        
R23        312.5000   2137.5000  000        EXACT     (FREE)    Primary Component Side        
R24        1356.2500  2031.2500  180        EXACT     (FREE)    Primary Component Side        
R25        5487.5000  8718.7500  270        EXACT     (FREE)    Primary Component Side        
R26        2514.6648  2363.1739  000        EXACT     (FREE)    Primary Component Side        
R27        2924.0200  2410.7700  270        EXACT     (FREE)    Primary Component Side        
R28        2766.6452  2888.4125  180        EXACT     (FREE)    Primary Component Side        
R29        2518.7500  2143.7500  000        EXACT     (FREE)    Primary Component Side        
R30        3679.3746  5672.4652  090        EXACT     (FREE)    Primary Component Side        
R31        5487.5000  8487.5000  270        EXACT     (FREE)    Primary Component Side        
R32        5762.5000  8843.7500  270        EXACT     (FREE)    Primary Component Side        
R33        5720.0000  668.7500   000        EXACT     (FREE)    Primary Component Side        
R34        5720.0000  568.7500   000        EXACT     (FREE)    Primary Component Side        
R35        5720.0000  168.7500   000        EXACT     (FREE)    Primary Component Side        
R36        5720.0000  268.7500   000        EXACT     (FREE)    Primary Component Side        
R37        2443.7500  1512.5000  000        EXACT     (FREE)    Primary Component Side        
R38        2443.7500  1337.5000  000        EXACT     (FREE)    Primary Component Side        
R39        2491.5614  1968.7975  270        EXACT     (FREE)    Primary Component Side        
R40        3009.0000  2119.0000  090        EXACT     (FREE)    Primary Component Side        
R41        2368.0637  2544.6618  270        EXACT     (FREE)    Primary Component Side        
R42        2418.3836  1725.2989  270        EXACT     (FREE)    Primary Component Side        
R43        2643.7500  1731.2500  090        EXACT     (FREE)    Primary Component Side        
R44        2537.5000  1731.2500  270        EXACT     (FREE)    Primary Component Side        
R45        5720.0000  368.7500   000        EXACT     (FREE)    Primary Component Side        
R46        5720.0000  468.7500   000        EXACT     (FREE)    Primary Component Side        
R47        5063.0000  2216.0000  090        EXACT     (FREE)    Secondary Component Side      
R48        4963.0000  2216.0000  090        EXACT     (FREE)    Secondary Component Side      
R49        4863.0000  2216.0000  090        EXACT     (FREE)    Secondary Component Side      
R62        1775.8439  1592.5444  270        EXACT     (FREE)    Primary Component Side        
REG1       168.7500   693.7500   000        EXACT     (FREE)    Primary Component Side        
RN1        5469.3852  1322.6019  270        EXACT     (FREE)    Primary Component Side        
RN2        5465.9788  1541.0197  270        EXACT     (FREE)    Primary Component Side        
RN3        4065.0000  3100.0000  000        EXACT     (FREE)    Primary Component Side        
RN4        4354.7139  3100.0000  000        EXACT     (FREE)    Primary Component Side        
RN5        4746.3051  3100.0000  000        EXACT     (FREE)    Primary Component Side        
RN6        5399.8548  3100.0000  000        EXACT     (FREE)    Primary Component Side        
